ts,value,theme
1666596889,48,theme-9h2kt
1666596904,48,theme-9h2kt
1666596919,56,theme-9h2kt
1666596934,61,theme-9h2kt
1666596949,68,theme-9h2kt
1666596964,69,theme-9h2kt
1666596979,74,theme-9h2kt
1666596994,79,theme-9h2kt
1666597009,83,theme-9h2kt
1666597024,87,theme-9h2kt
1666597039,90,theme-9h2kt
1666597054,92,theme-9h2kt
1666597069,100,theme-9h2kt
1666597084,103,theme-9h2kt
1666597099,105,theme-9h2kt
1666597114,106,theme-9h2kt
1666597129,114,theme-9h2kt
1666597144,117,theme-9h2kt
1666597159,121,theme-9h2kt
1666597174,125,theme-9h2kt
1666597189,131,theme-9h2kt
1666597204,133,theme-9h2kt
1666597219,139,theme-9h2kt
1666597234,142,theme-9h2kt
1666597249,145,theme-9h2kt
1666597264,148,theme-9h2kt
1666597279,149,theme-9h2kt
1666597294,149,theme-9h2kt
1666597309,149,theme-9h2kt
1666597324,149,theme-9h2kt
1666597339,149,theme-9h2kt
1666597354,149,theme-9h2kt
1666597369,149,theme-9h2kt
1666597384,149,theme-9h2kt
1666597399,149,theme-9h2kt
1666597414,149,theme-9h2kt
1666597429,149,theme-9h2kt
1666596664,0,theme-9v8jt
1666596679,0,theme-9v8jt
1666596694,0,theme-9v8jt
1666596709,3,theme-9v8jt
1666596724,14,theme-9v8jt
1666596739,17,theme-9v8jt
1666596754,21,theme-9v8jt
1666596769,22,theme-9v8jt
1666596784,27,theme-9v8jt
1666596799,35,theme-9v8jt
1666596814,39,theme-9v8jt
1666596829,45,theme-9v8jt
1666596844,46,theme-9v8jt
1666596859,50,theme-9v8jt
1666596874,51,theme-9v8jt
1666596889,61,theme-9v8jt
1666596904,67,theme-9v8jt
1666596919,73,theme-9v8jt
1666596934,75,theme-9v8jt
1666596949,84,theme-9v8jt
1666596964,86,theme-9v8jt
1666596979,88,theme-9v8jt
1666596994,89,theme-9v8jt
1666597009,93,theme-9v8jt
1666597024,94,theme-9v8jt
1666597039,97,theme-9v8jt
1666597054,98,theme-9v8jt
1666597069,103,theme-9v8jt
1666597084,103,theme-9v8jt
1666597099,108,theme-9v8jt
1666597114,108,theme-9v8jt
1666597129,110,theme-9v8jt
1666597144,111,theme-9v8jt
1666597159,114,theme-9v8jt
1666597174,119,theme-9v8jt
1666597189,122,theme-9v8jt
1666597204,122,theme-9v8jt
1666597219,129,theme-9v8jt
1666597234,133,theme-9v8jt
1666597249,139,theme-9v8jt
1666597264,140,theme-9v8jt
1666597279,143,theme-9v8jt
1666597294,143,theme-9v8jt
1666597309,143,theme-9v8jt
1666597324,143,theme-9v8jt
1666597339,143,theme-9v8jt
1666597354,143,theme-9v8jt
1666597369,143,theme-9v8jt
1666597384,143,theme-9v8jt
1666597399,143,theme-9v8jt
1666597414,143,theme-9v8jt
1666597429,143,theme-9v8jt
1666596664,0,theme-9vkb4
1666596679,0,theme-9vkb4
1666596694,1,theme-9vkb4
1666596709,6,theme-9vkb4
1666596724,7,theme-9vkb4
1666596739,13,theme-9vkb4
1666596754,15,theme-9vkb4
1666596769,21,theme-9vkb4
1666596784,22,theme-9vkb4
1666596799,24,theme-9vkb4
1666596814,26,theme-9vkb4
1666596829,31,theme-9vkb4
1666596844,36,theme-9vkb4
1666596859,44,theme-9vkb4
1666596874,45,theme-9vkb4
1666596889,50,theme-9vkb4
1666596904,50,theme-9vkb4
1666596919,56,theme-9vkb4
1666596934,59,theme-9vkb4
1666596949,62,theme-9vkb4
1666596964,64,theme-9vkb4
1666596979,71,theme-9vkb4
1666596994,74,theme-9vkb4
1666597009,87,theme-9vkb4
1666597024,89,theme-9vkb4
1666597039,97,theme-9vkb4
1666597054,97,theme-9vkb4
1666597069,98,theme-9vkb4
1666597084,102,theme-9vkb4
1666597099,109,theme-9vkb4
1666597114,120,theme-9vkb4
1666597129,124,theme-9vkb4
1666597144,127,theme-9vkb4
1666597159,133,theme-9vkb4
1666597174,134,theme-9vkb4
1666597189,140,theme-9vkb4
1666597204,144,theme-9vkb4
1666597219,149,theme-9vkb4
1666597234,152,theme-9vkb4
1666597249,155,theme-9vkb4
1666597264,155,theme-9vkb4
1666597279,158,theme-9vkb4
1666597294,158,theme-9vkb4
1666597309,158,theme-9vkb4
1666597324,158,theme-9vkb4
1666597339,158,theme-9vkb4
1666597354,158,theme-9vkb4
1666597369,158,theme-9vkb4
1666597384,158,theme-9vkb4
1666597399,158,theme-9vkb4
1666597414,158,theme-9vkb4
1666597429,158,theme-9vkb4
1666596664,0,theme-bgx8k
1666596679,0,theme-bgx8k
1666596694,4,theme-bgx8k
1666596709,6,theme-bgx8k
1666596724,12,theme-bgx8k
1666596739,19,theme-bgx8k
1666596754,21,theme-bgx8k
1666596769,25,theme-bgx8k
1666596784,25,theme-bgx8k
1666596799,29,theme-bgx8k
1666596814,31,theme-bgx8k
1666596829,33,theme-bgx8k
1666596844,34,theme-bgx8k
1666596859,42,theme-bgx8k
1666596874,42,theme-bgx8k
1666596889,46,theme-bgx8k
