ts,value,namespace
1666194870,398,project-rp9sp
1666194885,398,project-rp9sp
1666194900,398,project-rp9sp
1666194915,398,project-rp9sp
1666194930,398,project-rp9sp
1666194945,398,project-rp9sp
1666194960,398,project-rp9sp
1666194975,398,project-rp9sp
1666194990,398,project-rp9sp
1666195005,398,project-rp9sp
1666195020,398,project-rp9sp
1666195035,398,project-rp9sp
1666195050,398,project-rp9sp
1666195065,398,project-rp9sp
1666194150,0,project-rwf4r
1666194165,0,project-rwf4r
1666194180,6,project-rwf4r
1666194195,19,project-rwf4r
1666194210,23,project-rwf4r
1666194225,36,project-rwf4r
1666194240,41,project-rwf4r
1666194255,59,project-rwf4r
1666194270,64,project-rwf4r
1666194285,79,project-rwf4r
1666194300,88,project-rwf4r
1666194315,109,project-rwf4r
1666194330,120,project-rwf4r
1666194345,133,project-rwf4r
1666194360,144,project-rwf4r
1666194375,154,project-rwf4r
1666194390,162,project-rwf4r
1666194405,175,project-rwf4r
1666194420,178,project-rwf4r
1666194435,197,project-rwf4r
1666194450,203,project-rwf4r
1666194465,221,project-rwf4r
1666194480,228,project-rwf4r
1666194495,238,project-rwf4r
1666194510,244,project-rwf4r
1666194525,253,project-rwf4r
1666194540,262,project-rwf4r
1666194555,279,project-rwf4r
1666194570,286,project-rwf4r
1666194585,302,project-rwf4r
1666194600,312,project-rwf4r
1666194615,326,project-rwf4r
1666194630,334,project-rwf4r
1666194645,352,project-rwf4r
1666194660,359,project-rwf4r
1666194675,375,project-rwf4r
1666194690,384,project-rwf4r
1666194705,398,project-rwf4r
1666194720,406,project-rwf4r
1666194735,420,project-rwf4r
1666194750,426,project-rwf4r
1666194765,442,project-rwf4r
1666194780,442,project-rwf4r
1666194795,442,project-rwf4r
1666194810,442,project-rwf4r
1666194825,442,project-rwf4r
1666194840,442,project-rwf4r
1666194855,442,project-rwf4r
1666194870,442,project-rwf4r
1666194885,442,project-rwf4r
1666194900,442,project-rwf4r
1666194915,442,project-rwf4r
1666194930,442,project-rwf4r
1666194945,442,project-rwf4r
1666194960,442,project-rwf4r
1666194975,442,project-rwf4r
1666194990,442,project-rwf4r
1666195005,442,project-rwf4r
1666195020,442,project-rwf4r
1666195035,442,project-rwf4r
1666195050,442,project-rwf4r
1666195065,442,project-rwf4r
1666194150,0,project-tln8d
1666194165,0,project-tln8d
1666194180,5,project-tln8d
1666194195,16,project-tln8d
1666194210,18,project-tln8d
1666194225,27,project-tln8d
1666194240,32,project-tln8d
1666194255,44,project-tln8d
1666194270,52,project-tln8d
1666194285,67,project-tln8d
1666194300,72,project-tln8d
1666194315,86,project-tln8d
1666194330,91,project-tln8d
1666194345,100,project-tln8d
1666194360,106,project-tln8d
1666194375,116,project-tln8d
1666194390,119,project-tln8d
1666194405,134,project-tln8d
1666194420,141,project-tln8d
1666194435,155,project-tln8d
1666194450,163,project-tln8d
1666194465,170,project-tln8d
1666194480,174,project-tln8d
1666194495,191,project-tln8d
1666194510,199,project-tln8d
1666194525,209,project-tln8d
1666194540,210,project-tln8d
1666194555,219,project-tln8d
1666194570,229,project-tln8d
1666194585,247,project-tln8d
1666194600,252,project-tln8d
1666194615,262,project-tln8d
1666194630,270,project-tln8d
1666194645,287,project-tln8d
1666194660,291,project-tln8d
1666194675,310,project-tln8d
1666194690,314,project-tln8d
1666194705,332,project-tln8d
1666194720,333,project-tln8d
1666194735,344,project-tln8d
1666194750,345,project-tln8d
1666194765,357,project-tln8d
1666194780,357,project-tln8d
1666194795,357,project-tln8d
1666194810,357,project-tln8d
1666194825,357,project-tln8d
1666194840,357,project-tln8d
1666194855,357,project-tln8d
1666194870,357,project-tln8d
1666194885,357,project-tln8d
1666194900,357,project-tln8d
1666194915,357,project-tln8d
1666194930,357,project-tln8d
1666194945,357,project-tln8d
1666194960,357,project-tln8d
1666194975,357,project-tln8d
1666194990,357,project-tln8d
1666195005,357,project-tln8d
1666195020,357,project-tln8d
1666195035,357,project-tln8d
1666195050,357,project-tln8d
1666195065,357,project-tln8d
1666194150,0,project-tnrbv
1666194165,0,project-tnrbv
1666194180,5,project-tnrbv
1666194195,20,project-tnrbv
1666194210,31,project-tnrbv
1666194225,49,project-tnrbv
1666194240,56,project-tnrbv
1666194255,68,project-tnrbv
1666194270,71,project-tnrbv
1666194285,88,project-tnrbv
1666194300,95,project-tnrbv
1666194315,109,project-tnrbv
1666194330,115,project-tnrbv
1666194345,123,project-tnrbv
1666194360,129,project-tnrbv
1666194375,149,project-tnrbv
1666194390,157,project-tnrbv
1666194405,168,project-tnrbv
1666194420,168,project-tnrbv
1666194435,178,project-tnrbv
